scenario_id,battery_kwh,motor_power_kw,vehicle_mass_kg,tire_type,cooling_arch,range_km,cost_jpy,mass_kg,accel_0_100_sec,gradeability,battery_temp_max_degC
syn_scenario_03,70,197,2208,sport,enhanced,371.671,4825756.0,2534.0,9.677,0.3532,43.252
syn_scenario_03,77,220,2358,eco,enhanced,431.427,5076635.0,2699.4,10.103,0.3459,42.65
syn_scenario_03,84,243,2455,standard,integrated,429.373,5551663.0,2849.8,9.412,0.3758,39.481
syn_scenario_03,91,277,2552,sport,integrated,433.868,5991699.0,2984.2,8.532,0.4212,38.625
syn_scenario_03,101,300,1448,eco,basic,568.341,5986250.0,1866.2,7.215,0.4522,45.837
syn_scenario_03,108,102,1545,standard,basic,564.487,4708871.0,1998.6,10.875,0.2782,52.035
syn_scenario_03,115,125,1642,sport,enhanced,564.932,5251074.0,2157.0,10.304,0.3117,46.646
syn_scenario_03,51,148,1739,eco,enhanced,372.42,3978256.0,1971.2,10.67,0.3042,44.161
syn_scenario_04,58,171,1836,standard,integrated,366.303,4458370.0,2121.6,9.991,0.3309,41.227
syn_scenario_04,65,194,1933,sport,integrated,367.613,4824634.0,2256.0,9.329,0.3622,40.902
syn_scenario_04,72,228,2030,eco,basic,430.699,4841871.0,2326.4,9.409,0.3637,47.839
syn_scenario_04,79,251,2127,standard,basic,429.009,5183897.0,2458.8,8.745,0.3906,47.486
syn_scenario_04,86,274,2277,sport,enhanced,430.716,5730408.0,2670.2,8.242,0.4218,42.099
syn_scenario_04,96,297,2374,eco,enhanced,504.567,6050391.0,2795.2,8.616,0.4155,41.761
syn_scenario_04,103,99,2471,standard,integrated,500.002,4916200.0,2945.6,12.26,0.2418,45.316
syn_scenario_04,110,122,2568,sport,integrated,499.957,5278816.0,3080.0,11.604,0.277,44.794
syn_scenario_04,117,145,1464,eco,basic,619.526,5210071.0,1949.4,10.27,0.3082,51.828
syn_scenario_04,53,179,1561,standard,basic,361.822,4099119.0,1783.6,9.379,0.3481,48.768
syn_scenario_05,60,202,1658,sport,enhanced,363.839,4638884.0,1942.0,8.796,0.3821,43.143
syn_scenario_05,67,225,1755,eco,enhanced,427.518,4888767.0,2054.4,9.175,0.3751,42.509
syn_scenario_05,74,248,1852,standard,integrated,426.003,5364352.0,2204.8,8.524,0.4022,39.28
syn_scenario_05,81,271,1949,sport,integrated,430.028,5726105.0,2339.2,7.876,0.4337,38.67
syn_scenario_05,91,294,2046,eco,basic,503.211,5723800.0,2422.2,8.161,0.4249,45.781
syn_scenario_05,98,96,2196,standard,basic,495.33,4450169.0,2607.6,11.853,0.2466,51.873
syn_scenario_05,105,130,2293,sport,enhanced,494.963,5076404.0,2766.0,11.044,0.289,46.052
syn_scenario_05,112,153,2390,eco,enhanced,554.665,5333183.0,2878.4,11.425,0.2822,45.608
syn_scenario_05,119,176,2487,standard,integrated,549.609,5815247.0,3028.8,10.785,0.3113,42.608
syn_scenario_05,55,199,2584,sport,integrated,300.282,4655488.0,2865.0,10.15,0.3462,40.115
syn_scenario_06,62,222,1480,eco,basic,424.465,4591353.0,1734.4,8.814,0.3775,47.377
syn_scenario_06,69,245,1577,standard,basic,422.923,4930932.0,1866.8,8.113,0.4075,47.05
syn_scenario_06,76,268,1674,sport,enhanced,426.451,5474031.0,2025.2,7.507,0.442,41.721
syn_scenario_06,86,81,1771,eco,enhanced,498.921,4257199.0,2150.2,11.98,0.2424,47.765
syn_scenario_06,93,104,1868,standard,integrated,493.125,4732724.0,2300.6,11.35,0.27,44.788
syn_scenario_06,100,127,1965,sport,integrated,492.629,5092582.0,2435.0,10.728,0.3018,44.372
syn_scenario_06,107,150,2115,eco,basic,550.053,5022359.0,2558.4,11.089,0.2915,51.51
syn_scenario_06,114,173,2212,standard,basic,545.681,5357658.0,2690.8,10.38,0.3178,51.0
syn_scenario_06,50,196,2309,sport,enhanced,297.001,4372491.0,2551.0,9.76,0.3497,43.315
syn_scenario_06,57,219,2406,eco,enhanced,361.415,4625201.0,2663.4,10.132,0.3423,42.723
syn_scenario_07,64,253,2503,standard,integrated,359.643,5184703.0,2813.8,9.294,0.3811,39.174
syn_scenario_07,71,276,2600,sport,integrated,362.55,5550264.0,2948.2,8.686,0.4156,38.541
syn_scenario_07,81,299,1496,eco,basic,494.373,5551325.0,1830.2,7.362,0.4467,45.599
syn_scenario_07,88,101,1593,standard,basic,488.159,4280063.0,1962.6,10.957,0.2736,51.612
syn_scenario_07,95,124,1690,sport,enhanced,487.737,4826974.0,2121.0,10.324,0.3084,46.024
syn_scenario_07,102,147,1787,eco,enhanced,548.34,5083177.0,2233.4,10.687,0.3026,45.474
syn_scenario_07,109,170,1884,standard,integrated,544.682,5563207.0,2383.8,10.067,0.3307,42.37
syn_scenario_07,116,204,2034,sport,integrated,545.937,6007093.0,2571.2,9.328,0.3714,41.584
syn_scenario_07,52,227,2131,eco,basic,358.385,4412706.0,2343.4,9.636,0.363,46.642
syn_scenario_07,59,250,2228,standard,basic,356.202,4748557.0,2475.8,8.921,0.3892,46.27
syn_scenario_08,66,273,2325,sport,enhanced,358.413,5288571.0,2634.2,8.276,0.4207,40.927
syn_scenario_08,76,296,2422,eco,enhanced,429.56,5602807.0,2759.2,8.626,0.4129,40.689
syn_scenario_08,83,98,2519,standard,integrated,423.109,4464574.0,2909.6,12.315,0.2376,44.392
syn_scenario_08,90,121,1415,sport,integrated,483.009,4825523.0,1843.0,10.109,0.3077,44.051
syn_scenario_08,97,155,1512,eco,basic,544.256,4838062.0,1913.4,10.215,0.3126,50.954
syn_scenario_08,104,178,1609,standard,basic,541.284,5176782.0,2045.8,9.502,0.3428,50.549
syn_scenario_08,111,201,1706,sport,enhanced,545.569,5721931.0,2204.2,8.847,0.378,45.1
syn_scenario_08,118,224,1803,eco,enhanced,609.946,5978218.0,2316.6,9.185,0.3725,44.602
syn_scenario_08,54,247,1953,standard,integrated,352.504,4933665.0,2221.8,8.632,0.3996,39.329
syn_scenario_08,61,270,2050,sport,integrated,354.002,5300685.0,2356.2,8.056,0.4324,38.746
syn_scenario_09,71,293,2147,eco,basic,424.645,5301676.0,2439.2,8.39,0.4243,45.823
syn_scenario_09,78,106,2244,standard,basic,418.157,4109127.0,2571.6,11.778,0.2574,51.492
syn_scenario_09,85,129,2341,sport,enhanced,418.455,4653198.0,2730.0,11.116,0.2887,45.858
syn_scenario_09,92,152,2438,eco,enhanced,480.407,4905777.0,2842.4,11.44,0.2805,45.236
syn_scenario_09,99,175,2535,standard,integrated,478.037,5382001.0,2992.8,10.807,0.308,42.039
syn_scenario_09,106,198,1431,sport,integrated,542.565,5742230.0,1926.2,8.615,0.3775,41.479
syn_scenario_09,113,221,1528,eco,basic,606.627,5671990.0,1996.6,8.962,0.3719,48.562
syn_scenario_09,120,244,1625,standard,basic,603.223,6006884.0,2129.0,8.265,0.402,48.093
syn_scenario_09,56,278,1722,sport,enhanced,351.999,5101294.0,1989.2,7.385,0.4473,40.21
syn_scenario_09,66,80,1872,eco,enhanced,419.653,3804281.0,2167.2,12.077,0.2373,46.548
syn_scenario_10,73,103,1969,standard,integrated,413.331,4282514.0,2317.6,11.434,0.2665,43.598
syn_scenario_10,80,126,2066,sport,integrated,414.217,4647219.0,2452.0,10.865,0.2998,43.267
syn_scenario_10,87,149,2163,eco,basic,476.877,4583182.0,2522.4,11.224,0.2922,50.541
syn_scenario_10,94,172,2260,standard,basic,474.976,4924975.0,2654.8,10.538,0.3188,50.206
syn_scenario_10,101,195,2357,sport,enhanced,479.444,5472039.0,2813.2,9.873,0.35,44.847
syn_scenario_10,108,229,2454,eco,enhanced,543.023,5809064.0,2925.6,9.959,0.3516,44.123
syn_scenario_10,115,252,2551,standard,integrated,538.909,6289900.0,3076.0,9.303,0.3786,41.086
syn_scenario_10,51,275,1447,sport,integrated,347.158,5127943.0,1711.2,7.11,0.4476,38.472
syn_scenario_10,61,298,1544,eco,basic,417.315,5125504.0,1794.2,7.48,0.4415,45.63
syn_scenario_10,68,100,1641,standard,basic,411.349,3848839.0,1926.6,11.116,0.2679,51.687
syn_scenario_11,75,123,1791,sport,enhanced,410.263,4389340.0,2138.0,10.527,0.3015,46.081
syn_scenario_11,82,146,1888,eco,enhanced,473.578,4639188.0,2250.4,10.819,0.2967,45.453
syn_scenario_11,89,180,1985,standard,integrated,471.975,5194271.0,2400.8,9.935,0.3365,41.889
syn_scenario_11,96,203,2082,sport,integrated,476.232,5554590.0,2535.2,9.357,0.3703,41.262
syn_scenario_11,103,226,2179,eco,basic,539.198,5485955.0,2605.6,9.734,0.3631,48.257
syn_scenario_11,110,249,2276,standard,basic,534.382,5823703.0,2738.0,9.074,0.3901,47.686
syn_scenario_11,117,272,2373,sport,enhanced,534.199,6367942.0,2896.4,8.421,0.4215,42.157
syn_scenario_11,56,295,2470,eco,enhanced,352.361,5161534.0,2723.2,8.708,0.4128,39.635
syn_scenario_11,63,97,2567,standard,integrated,346.912,4029814.0,2873.6,12.335,0.2361,43.23
syn_scenario_11,70,131,1463,sport,integrated,409.239,4477157.0,1807.0,9.912,0.3147,42.508
